City,Counties,Population
Louisburg,FRANKLIN,3351
Maiden,CATAWBA/LINCOLN,3393
Red Springs,ROBESON/HOKE,3396
Benson,JOHNSTON,3420
Wilkesboro,WILKES,3446
Carolina Shores,BRUNSWICK,3455
Kitty Hawk,DARE,3479
Red Oak,NASH,3487
Polkton,ANSON,3499
Ranlo,GASTON,3514
Elizabethtown,BLADEN,3576
Fairview,UNION,3603
Wingate,UNION,3608
Lake Park,UNION,3626
Jamestown,GUILFORD,3642
Midland,CABARRUS/MECKLENBURG,3648
Stanley,GASTON,3655
Eastover,CUMBERLAND,3662
Lowell,GASTON,3665
Plymouth,WASHINGTON,3700
Emerald Isle,CARTERET,3797
Windsor,BERTIE,3826
Weaverville,BUNCOMBE,3833
Hudson,CALDWELL,3890
Wallace,DUPLIN/PENDER,3984
Sunset Beach,BRUNSWICK,4010
Gamewell,CALDWELL,4016
Elkin,SURRY/WILKES,4022
Trent Woods,CRAVEN,4029
Burgaw,PENDER,4050
Franklin,MACON,4059
Beaufort,CARTERET,4171
Rutherfordton,RUTHERFORD,4173
Randleman,RANDOLPH,4177
China Grove,ROWAN,4224
Tabor City,COLUMBUS,4256
Canton,HAYWOOD,4275
Shallotte,BRUNSWICK,4304
St. James,BRUNSWICK,4316
Spindale,RUTHERFORD,4318
Creedmoor,GRANVILLE,4407
Pittsboro,CHATHAM,4415
Valdese,BURKE,4442
North Wilkesboro,WILKES,4477
Erwin,HARNETT,4566
Mount Olive,WAYNE/DUPLIN,4607
Pleasant Garden,GUILFORD,4616
Granite Falls,CALDWELL,4640
Farmville,PITT,4702
Archer Lodge,JOHNSTON,4708
Zebulon,WAKE/JOHNSTON,4709
Dallas,GASTON,4724
Midway,DAVIDSON,4762
Boiling Springs,CLEVELAND,4790
Newport,CARTERET,4817
Cramerton,GASTON,4822
Ahoskie,HERTFORD,4855
Edenton,CHOWAN,4857
Raeford,HOKE,4857
Long View,CATAWBA/BURKE,4867
Angier,HARNETT/WAKE,4934
Ayden,PITT,5007
Walkertown,FORSYTH,5032
Sawmills,CALDWELL,5155
Nashville,NASH,5303
Mocksville,DAVIE,5339
Whiteville,COLUMBUS,5352
Rolesville,WAKE,5362
Bessemer City,GASTON,5410
Stokesdale,GUILFORD,5535
Wadesboro,ANSON,5562
Williamston,MARTIN,5564
Cherryville,GASTON,5830
Carolina Beach,NEW HANOVER,5969
Selma,JOHNSTON,6227
Boiling Spring Lakes,BRUNSWICK,6297
Wendell,WAKE,6337
Hamlet,RICHMOND,6359
Unionville,UNION,6381
Hillsborough,ORANGE,6464
Marvin,UNION,6472
Woodfin,BUNCOMBE,6484
Trinity,RANDOLPH,6618
Gibsonville,GUILFORD/ALAMANCE,6938
King,STOKES/FORSYTH,6977
Oak Ridge,GUILFORD,7073
Kill Devil Hills,DARE,7127
Mills River,HENDERSON,7222
Aberdeen,MOORE,7360
Oak Island,BRUNSWICK,7366
Forest City,RUTHERFORD,7416
Fletcher,HENDERSON,7698
Butner,GRANVILLE,7788
Brevard,TRANSYLVANIA,7929
Marion,MCDOWELL,8117
Roxboro,PERSON,8185
Conover,CATAWBA,8301
Wesley Chapel,UNION,8380
Black Mountain,BUNCOMBE,8384
Oxford,GRANVILLE,8474
Siler City,CHATHAM,8552
Clinton,SAMPSON,8647
Pineville,MECKLENBURG,8725
Rockingham,RICHMOND,9293
Morehead City,CARTERET,9362
Winterville,PITT,9389
Dunn,HARNETT,9599
Washington,BEAUFORT,9639
Waynesville,HAYWOOD,9916
Weddington,UNION/MECKLENBURG,10324
Elon,ALAMANCE,10357
Mount Airy,SURRY,10361
Lincolnton,LINCOLN,10558
Kings Mountain,CLEVELAND/GASTON,10667
Belmont,GASTON,10954
Tarboro,EDGECOMBE,11066
Smithfield,JOHNSTON,11102
Summerfield,GUILFORD,11243
Spring Lake,CUMBERLAND,11777
Archdale,RANDOLPH/GUILFORD,11954
Waxhaw,UNION,12548
Mebane,ALAMANCE/ORANGE,12623
Davidson,IREDELL/MECKLENBURG,12692
Newton,CATAWBA,12982
Lewisville,FORSYTH,13046
Southern Pines,MOORE,13461
Knightdale,WAKE,13500
Hendersonville,HENDERSON,13824
Reidsville,ROCKINGHAM,14205
Graham,ALAMANCE,14304
Mount Holly,GASTON,14773
Henderson,VANCE,15094
Roanoke Rapids,HALIFAX,15186
Eden,ROCKINGHAM,15306
Harrisburg,CABARRUS,15387
Stallings,UNION/MECKLENBURG,15492
Laurinburg,SCOTLAND,15646
Albemarle,STANLY,15979
Pinehurst,MOORE,16123
Hope Mills,CUMBERLAND,16444
Morganton,BURKE,16716
Leland,BRUNSWICK,17154
Elizabeth City,PASQUOTANK/CAMDEN,17826
Lenoir,CALDWELL,17849
Boone,WATAUGA,18553
Lexington,DAVIDSON,18558
Clayton,JOHNSTON/WAKE,18734
Clemmons,FORSYTH,19575
Shelby,CLEVELAND,20089
Havelock,CRAVEN,20328
Carrboro,ORANGE,20558
Kinston,LENOIR,21025
Lumberton,ROBESON,21550
Fuquay-Varina,WAKE,22864
Morrisville,WAKE/DURHAM,23682
Kernersville,FORSYTH/GUILFORD,24211
Statesville,IREDELL,25363
Asheboro,RANDOLPH,25740
Mint Hill,MECKLENBURG/UNION,26170
Thomasville,DAVIDSON/RANDOLPH,27043
Garner,WAKE,28558
Sanford,LEE,28802
Cornelius,MECKLENBURG,29431
New Bern,CRAVEN,29823
Holly Springs,WAKE,30018
Matthews,MECKLENBURG,30359
Salisbury,ROWAN,34278
Monroe,UNION,34323
Wake Forest,WAKE/FRANKLIN,34463
Goldsboro,WAYNE,34945
Indian Trail,UNION,37449
Mooresville,IREDELL,37750
Hickory,CATAWBA/BURKE/CALDWELL,40351
Apex,WAKE,44745
Kannapolis,ROWAN/CABARRUS,45599
Wilson,WILSON,49357
Burlington,ALAMANCE/GUILFORD,52240
Rocky Mount,NASH/EDGECOMBE,55189
Huntersville,MECKLENBURG,55602
Chapel Hill,ORANGE/DURHAM,59569
Gastonia,GASTON,73843
Jacksonville,ONSLOW,77464
Concord,CABARRUS,87130
Greenville,PITT,87960
